timestamp,tipo,importo_usdc,nav_per_quota,quote_emesse,btc_prezzo,btc_qty_totale,dettaglio
2026-07-23T17:27:07+00:00,SOTTOSCRIZIONE,2750.00,1.018886,2699.0262,64777.88,0.00569600,80% sUSDS / 20% cassa PT
2026-07-25T06:06:23+00:00,ACCUMULO_BTC,2.49,1.018839,0.0000,63988.57,0.00573487,rendimento sUSDS -> 0.00003887 BTC
2026-07-26T07:56:54+00:00,ACCUMULO_BTC,1.87,1.019024,0.0000,64296.00,0.00576395,rendimento sUSDS -> 0.00002908 BTC
2026-07-26T07:56:54+00:00,SOTTOSCRIZIONE,1490.00,1.019024,1462.1834,64296.00,0.00576395,80% sUSDS / 20% cassa PT
2026-07-27T10:52:10+00:00,ACCUMULO_BTC,3.47,1.019427,0.0000,65291.09,0.00581714,rendimento sUSDS -> 0.00005319 BTC
2026-07-27T10:52:10+00:00,SOTTOSCRIZIONE,500.00,1.019427,490.4716,65291.09,0.00581714,80% sUSDS / 20% cassa PT
2026-07-28T07:48:42+00:00,ACCUMULO_BTC,1.08,1.019041,0.0000,63395.35,0.00583410,rendimento sUSDS -> 0.00001696 BTC
2026-07-29T11:01:44+00:00,ACCUMULO_BTC,3.18,1.019436,0.0000,64430.51,0.00588348,rendimento sUSDS -> 0.00004939 BTC
2026-08-01T09:17:32+00:00,ACCUMULO_BTC,1.04,1.019202,0.0000,63056.87,0.00589997,rendimento sUSDS -> 0.00001649 BTC
2026-08-02T07:50:50+00:00,ACCUMULO_BTC,4.06,1.019475,0.0000,63437.02,0.00596390,rendimento sUSDS -> 0.00006393 BTC
2026-08-02T07:50:50+00:00,SOTTOSCRIZIONE,560.00,1.019475,549.3023,63437.02,0.00596390,80% sUSDS / 20% cassa PT
2026-08-02T07:50:50+00:00,IMPIEGO_CASSA,1060.00,0.000000,0.0000,63437.02,0.00596390,cassa -> sUSDS @ 5.25%
2026-08-03T08:51:56+00:00,ACCUMULO_BTC,1.51,1.019309,0.0000,62375.97,0.00598813,rendimento sUSDS -> 0.00002423 BTC
2026-08-03T08:51:56+00:00,SOTTOSCRIZIONE,1100.00,1.019309,1079.1625,62375.97,0.00598813,80% sUSDS / 20% cassa PT
2026-08-05T07:59:58+00:00,ACCUMULO_BTC,2.47,1.019830,0.0000,64109.97,0.00602673,rendimento sUSDS -> 0.00003860 BTC
2026-08-05T07:59:58+00:00,SOTTOSCRIZIONE,2220.00,1.019830,2176.8334,64109.97,0.00602673,80% sUSDS / 20% cassa PT
2026-08-06T10:58:34+00:00,ACCUMULO_BTC,3.59,1.020082,0.0000,64539.74,0.00608243,rendimento sUSDS -> 0.00005570 BTC
2026-08-06T10:58:34+00:00,SOTTOSCRIZIONE,550.00,1.020082,539.1723,64539.74,0.00608243,80% sUSDS / 20% cassa PT
