timestamp,tipo,importo_usdc,quota,quote,btc_usd,btc_qty,nota
2026-08-18T13:16:51+00:00,SEME,10000.0,1.0,10000.0,64083.07,0.01828536,sconto 1171.78 -> BTC subito
2026-08-20T11:04:54+00:00,SOTTOSCRIZIONE,330.0,1.0147,325.2192,72026.31,0.0188198,spesa piena sconto 38.49
2026-08-26T10:50:03+00:00,SOTTOSCRIZIONE,980.0,1.027638,953.6435,78835.14,0.02028421,spesa piena sconto 115.45
2026-09-01T14:50:58+00:00,USCITA_IN_NATURA,231.72,1.027217,-225.5773,78308.64,0.01987852,stable 199.95 + BTC 0.00040568
2026-09-02T14:26:41+00:00,SOTTOSCRIZIONE,1110.0,1.025355,1082.5516,77225.03,0.02160015,spesa piena sconto 132.95
2026-09-03T14:30:53+00:00,SOTTOSCRIZIONE,610.0,1.029881,592.3012,79717.86,0.02251669,spesa piena sconto 73.06
2026-09-04T14:19:04+00:00,SOTTOSCRIZIONE,1280.0,1.029205,1243.6781,79284.98,0.02445041,spesa piena sconto 153.31
2026-09-09T14:32:11+00:00,SOTTOSCRIZIONE,1130.0,1.029596,1097.5177,79250.88,0.02618218,spesa piena sconto 137.24
2026-09-10T14:23:54+00:00,SOTTOSCRIZIONE,2580.0,1.025987,2514.6507,77122.25,0.03024528,spesa piena sconto 313.36
2026-09-13T14:19:53+00:00,SOTTOSCRIZIONE,920.0,1.026098,896.6006,77028.36,0.0316959,spesa piena sconto 111.74
2026-09-15T14:58:19+00:00,SOTTOSCRIZIONE,550.0,1.02431,536.9469,75878.65,0.03257626,spesa piena sconto 66.80
2026-09-18T14:28:42+00:00,SOTTOSCRIZIONE,570.0,1.032958,551.8135,80763.59,0.03347429,spesa piena sconto 72.53
2026-09-19T13:54:54+00:00,SOTTOSCRIZIONE,390.0,1.033989,377.1801,81310.76,0.03408459,spesa piena sconto 49.62
2026-09-24T15:01:27+00:00,SOTTOSCRIZIONE,2070.0,1.038489,1993.2803,83666.9,0.03730621,spesa piena sconto 269.54
